step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
207,0,0,11,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
208,0,0,11,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
209,0,0,11,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
210,0,0,11,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
211,0,0,11,13,1.0,-1.9999998807907104,1.0,0.0,-0.04349999523162856
212,0,0,11,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
213,0,0,11,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
214,0,0,11,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
215,0,0,11,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
216,0,0,11,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
217,0,0,11,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
218,0,0,11,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
219,0,0,12,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
220,0,0,12,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
221,0,0,12,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
222,0,0,12,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
223,0,0,12,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
224,0,0,12,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
225,0,0,12,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
226,0,0,12,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
227,0,0,12,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
228,0,0,12,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
229,0,0,12,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
230,0,0,12,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
231,0,0,12,13,1.0,-2.0,1.0,0.0,-0.043500000000000004
232,0,0,12,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
233,0,0,12,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
234,0,0,12,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
235,0,0,12,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
236,0,0,12,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
237,0,0,12,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
238,0,0,12,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
239,0,0,13,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
240,0,0,13,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
241,0,0,13,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
242,0,0,13,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
243,0,0,13,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
244,0,0,13,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
245,0,0,13,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
246,0,0,13,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
247,0,0,13,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
248,0,0,13,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
249,0,0,13,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
250,0,0,13,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
251,0,0,13,13,1.0,-2.0,1.0,0.0,-0.043500000000000004
252,0,0,13,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
253,0,0,13,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
254,0,0,13,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
255,0,0,13,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
256,0,0,13,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
257,0,0,13,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
258,0,0,13,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
259,0,0,14,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
260,0,0,14,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
