step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
342,0,0,18,4,50.0,2.0,50.0,0.0,-0.0925
343,0,0,18,5,50.0,2.0,50.0,0.0,-0.0925
344,0,0,18,6,50.0,2.0,50.0,0.0,-0.0925
345,0,0,18,7,50.0,2.0,50.0,0.0,-0.0925
346,0,0,18,8,50.0,2.0,50.0,0.0,-0.0925
347,0,0,18,9,50.0,2.0,50.0,0.0,-0.0925
348,0,0,18,10,50.0,2.0,50.0,0.0,-0.0925
349,0,0,18,11,50.0,2.0,50.0,0.0,-0.0925
350,0,0,18,12,50.0,2.0,50.0,0.0,-0.0925
351,0,0,18,13,50.0,1.9999995231628418,50.0,0.0,-0.09249998092651596
352,0,0,18,14,50.0,2.0,50.0,0.0,-0.0925
353,0,0,18,15,50.0,2.0,50.0,0.0,-0.0925
354,0,0,18,16,50.0,2.0,50.0,0.0,-0.0925
355,0,0,18,17,50.0,2.0,50.0,0.0,-0.0925
356,0,0,18,18,50.0,2.0,50.0,0.0,-0.0925
357,0,0,18,19,50.0,2.0,50.0,0.0,-0.0925
358,0,0,18,20,50.0,2.0,50.0,0.0,-0.0925
359,0,0,19,1,50.0,2.0,50.0,0.0,-0.0925
360,0,0,19,2,50.0,2.0,50.0,0.0,-0.0925
361,0,0,19,3,50.0,2.0,50.0,0.0,-0.0925
362,0,0,19,4,50.0,2.0,50.0,0.0,-0.0925
363,0,0,19,5,50.0,2.0,50.0,0.0,-0.0925
364,0,0,19,6,50.0,2.0,50.0,0.0,-0.0925
365,0,0,19,7,50.0,2.0,50.0,0.0,-0.0925
366,0,0,19,8,50.0,2.0,50.0,0.0,-0.0925
367,0,0,19,9,50.0,2.0,50.0,0.0,-0.0925
368,0,0,19,10,50.0,2.0,50.0,0.0,-0.0925
369,0,0,19,11,50.0,2.0,50.0,0.0,-0.0925
370,0,0,19,12,50.0,2.0,50.0,0.0,-0.0925
371,0,0,19,13,50.0,1.9999985694885254,50.0,0.0,-0.09249994277956149
372,0,0,19,14,50.0,1.999999761581421,50.0,0.0,-0.09249999046325741
373,0,0,19,15,50.0,2.0,50.0,0.0,-0.0925
374,0,0,19,16,50.0,2.0,50.0,0.0,-0.0925
375,0,0,19,17,50.0,2.0,50.0,0.0,-0.0925
376,0,0,19,18,50.0,2.0,50.0,0.0,-0.0925
377,0,0,19,19,50.0,2.0,50.0,0.0,-0.0925
378,0,0,19,20,50.0,2.0,50.0,0.0,-0.0925
379,0,0,20,1,50.0,2.0,50.0,0.0,-0.0925
380,0,0,20,2,50.0,2.0,50.0,0.0,-0.0925
381,0,0,20,3,50.0,2.0,50.0,0.0,-0.0925
382,0,0,20,4,50.0,2.0,50.0,0.0,-0.0925
383,0,0,20,5,50.0,2.0,50.0,0.0,-0.0925
384,0,0,20,6,50.0,2.0,50.0,0.0,-0.0925
385,0,0,20,7,50.0,2.0,50.0,0.0,-0.0925
386,0,0,20,8,50.0,2.0,50.0,0.0,-0.0925
387,0,0,20,9,50.0,2.0,50.0,0.0,-0.0925
388,0,0,20,10,50.0,2.0,50.0,0.0,-0.0925
389,0,0,20,11,50.0,2.0,50.0,0.0,-0.0925
390,0,0,20,12,50.0,2.0,50.0,0.0,-0.0925
391,0,0,20,13,50.0,1.999995231628418,50.0,0.0,-0.09249980926536411
